,0,1,2,3,4,5,6,7
0,46.1454560824,983.789391311,16.0288476606,-11.1583118386,9487.65060068,0.640148128373,-1.0,-0.730771943191
1,98.5163427955,917.210112703,12.0576953212,-20.5729288041,9475.30120136,0.0,0.772434750643,0.920956758672
2,146.903224418,821.584680922,12.0576953212,-27.0855390578,9475.30120136,8.06451202103e-17,0.24678916151,-0.300538790454
3,195.290106041,699.82449511,12.0576953212,-33.5981493116,9475.30120136,0.0,-1.0,-0.337067821927
4,245.236494932,550.370047998,12.8349334014,-40.8879976455,9477.71263529,1.41416013014e-14,-0.86349867844,0.926665831031
5,274.888561399,395.075169279,-1.17601311029,-33.3896613875,9434.3068246,1.0,-1.0,1.0
6,252.728056137,265.458108259,-7.64401947225,-33.4342652793,9414.31592666,0.286255737595,-1.0,1.0
7,194.652522276,145.621321805,-23.5474977529,-24.0433972524,9365.3878216,0.999999999999,-1.0,1.0
8,84.6580491383,58.152971747,-26.4200583739,-19.5383194557,9331.62774663,1.0,0.542241956689,1.0
9,9.57306242516,6.30621817127,-9.53722540348,-6.28092027661,9271.34189846,1.0,1.0,1.0
10,10.0,1000.0,20.0,-5.0,9500.0,0.0,0.317352919994,0.327468328286
11,74.3229019842,955.222295832,12.0576953212,-17.3166236772,9475.30120136,0.0,-0.931814370462,-0.222006742395
12,122.709783607,872.664241066,12.0576953212,-23.829233931,9475.30120136,0.0,-0.434958953457,0.641404456828
13,171.09666523,763.97143227,12.0576953212,-30.3418441847,9475.30120136,9.83913471531e-16,-0.973977885034,-1.0
14,219.483546852,629.143869442,12.0576953212,-36.8544544384,9475.30120136,2.86253768085e-15,-0.787875285366,1.0
15,267.870428475,468.181552583,8.94874300054,-40.2581123715,9465.65546565,1.0,-1.0,1.0
16,266.270165766,331.071626025,-6.63734074011,-31.1846388846,9417.42678712,0.0,-1.0,-0.579631831813
17,232.453237008,200.043611484,-13.3483299264,-30.986259952,9396.73646265,0.999999999999,-1.0,1.0
18,141.100287825,100.416863338,-29.0490338574,-21.7981662747,9348.50778412,0.0,0.944027593638,0.673919573335
19,38.2524936044,25.1851165889,-19.0447299273,-12.5321196736,9300.27910558,1.0,1.0,1.0
20,0.0,0.0,0.0,0.0,9242.40469133,1.0,1.0,1.0
21,46.1389184178,984.542906752,16.041275822,-11.1911649716,9487.73360665,0.639708067107,-1.0,-0.740731586073
22,98.5499327062,917.758506121,12.0746587876,-20.6390678652,9475.39820319,3.38982585491e-17,0.772434750646,0.920956758672
23,146.983267497,821.916275751,12.0746587876,-27.1487722315,9475.39820319,0.0,0.246789161513,-0.300538790453
24,195.420276908,699.958933865,12.0764909881,-33.6603087984,9475.40389356,0.0,-0.999999999997,-0.337067821928
25,245.382321444,550.365119959,12.8350556859,-40.9285778625,9477.75734788,0.0,-0.863498678439,0.92666583103
26,275.035207224,394.969027914,-1.16771512651,-33.4355114164,9434.37659497,0.999999999999,-1.0,1.0
27,252.895508329,265.254083649,-7.66299235576,-33.4499385535,9414.30141545,0.291089117339,-1.0,1.0
28,194.690907284,145.492604638,-23.5897220864,-24.0329131892,9365.30194041,1.0,-1.0,1.0
29,84.6093000526,58.1015040166,-26.4347196038,-19.5297584249,9331.55694483,0.999999177591,0.546415583078,1.0
30,9.56455792529,6.3006283134,-9.53300849163,-6.27815630846,9271.2980117,1.0,1.0,1.0
31,9.98921252892,1000.77733612,20.0078928564,-4.99811426118,9500.0690101,1.46305089303e-16,0.317352919994,0.327468328286
32,74.333265311,955.88783247,12.0746587876,-17.384215682,9475.39820319,0.0,-0.931814370464,-0.222006742398
33,122.766600102,873.101320548,12.0746587876,-23.8939200483,9475.39820319,5.76524505219e-17,-0.460007551206,0.663021224818
34,171.199934892,764.20337173,12.0746587876,-30.4036244147,9475.39820319,1.85928737037e-16,-0.973977885037,-0.999999999988
35,219.633269683,629.193986017,12.0673299855,-36.905999979,9475.37544174,0.00236079614138,-1.0,1.0
36,268.007810543,468.131957339,8.95245437189,-40.3008287317,9465.71124845,1.0,-1.0,1.0
37,266.440136937,330.900706233,-6.62656440753,-31.2315143186,9417.50408926,1.01210272802e-16,-1.0,-0.579631831813
38,232.563561805,199.866919756,-13.3950058759,-30.9727772166,9396.63659388,1.0,-1.0,1.0
